,time,region,spa01,spe01,spa03,spe03,spa06,spe06,spa12,spe12,t2m,rh,tp,index_x,t2m_L1.0,t2m_L2.0,t2m_L3.0,t2m_L4.0,t2m_L5.0,t2m_L6.0,rh_L1.0,rh_L2.0,rh_L3.0,rh_L4.0,rh_L5.0,rh_L6.0,tp_L1.0,tp_L2.0,tp_L3.0,tp_L4.0,tp_L5.0,tp_L6.0,mx2t24_L1.0,mx2t24_L2.0,mx2t24_L3.0,mx2t24_L4.0,mx2t24_L5.0,mx2t24_L6.0,mn2t24_L1.0,mn2t24_L2.0,mn2t24_L3.0,mn2t24_L4.0,mn2t24_L5.0,mn2t24_L6.0,ssta,VUL_socioeconomic_deprivation,VUL_socioeconomic_inequality,gdp_pc,pop_count,area,pop_density,index_y,Country,Region,Cases,Spatial_Resolution
0,2015-01,PRI,0.5168889648265901,0.5968136683568607,-0.005958202650677795,0.024124104635580648,-0.012356475711467745,0.06587618491771507,-0.7150399283674769,-0.7299801393583307,297.53364221300484,0.8168488129231465,0.5790408081688988,0,297.82783475248635,297.5385443083901,297.7921551742086,298.37344048847604,299.189598044782,300.092775249361,0.7777379814032281,0.7640577747564242,0.7503244783675158,0.7613100651705591,0.7762458493250205,0.767292799944211,15.448101076101894,12.781938357861225,13.392755996700785,16.745260462009806,19.645640573887572,14.157976277746945,299.43587118867475,299.3220939631017,299.70128255355587,300.2830009443732,300.99441651036693,301.89801972027374,296.6885892382045,296.25386758153866,296.3824440899644,296.9110464639005,297.7655069315184,298.65812068789825,0.47741935,0.024599623813632853,0.5299999745854519,34116.03102574889,3506911.5653774138,8970.474100202524,390.93937803111646,1,PUERTO RICO,PUERTO RICO,297,Admin0
1,2015-02,PRI,0.729085822652981,0.7378926140443139,-0.10246420890124963,-0.0007532783765206386,-0.233932674052617,-0.12795974004698152,-0.6104396805938405,-0.6190579955675385,297.60474869097976,0.8070099436043817,0.6450462443157828,1,297.92186428700734,297.95616095697494,298.48224944446685,299.31677984449243,300.1560972317825,300.48480078108093,0.774978290795718,0.7557057765276894,0.7616605534261507,0.774955286926938,0.7712339632474624,0.7689497362519125,14.944147862825199,19.43181867380432,18.080955475978143,19.741516251101825,16.203294333013705,17.57697837479336,299.67575173525427,299.80108141570685,300.358831237619,301.1184604637348,301.935098616616,302.3117803034599,296.64992016806036,296.56712665860476,297.0301084646561,297.8959885863799,298.7451082538505,299.05128919092147,0.75,0.024599623813632853,0.5299999745854519,34116.03102574889,3506911.5653774138,8970.474100202524,390.93937803111646,2,PUERTO RICO,PUERTO RICO,143,Admin0
2,2015-03,PRI,0.7568735372741765,0.9530645508980582,0.9448063566295508,1.052000902293642,-0.31326701298672055,-0.19916153037017317,-0.6178342524168732,-0.5765709017607102,297.5162287227764,0.7543131609704458,0.35410201724826074,2,298.0603789686686,298.60968550088637,299.3078718782634,300.1578539410249,300.52804864112505,300.69948438026546,0.7492319476884161,0.7544639556419137,0.7703343930556086,0.7708849059858506,0.7652816190593243,0.7719469333325871,12.708543670533693,17.417011289770354,18.05373923674605,14.557662576868482,15.114491945068986,18.487562389356466,299.8771935911193,300.5114899937444,301.124429860724,301.9434936696477,302.37604774272614,302.5735495763634,296.70454771050794,297.15083963112295,297.86050547714757,298.75770936888284,299.09356717125206,299.2433364617752,0.43870968,0.024599623813632853,0.5299999745854519,34116.03102574889,3506911.5653774138,8970.474100202524,390.93937803111646,3,PUERTO RICO,PUERTO RICO,209,Admin0
3,2015-04,PRI,-0.484060834790542,-0.38894523656406277,0.26572344180974805,0.35669552203532917,-0.07607799277146769,0.046934518457739265,-0.763411025696365,-0.7155221534967793,298.4036794158131,0.7626139551599423,0.3724142134145444,3,298.50345239455754,299.36776797725,300.1168882065982,300.55242694809016,300.74718017695847,300.7802237031114,0.7611947213994376,0.7727891441327797,0.7670836595129245,0.7598919490773537,0.7689745851220764,0.789372271945264,17.004165331390976,17.2162059657527,14.487740726779982,12.396962752013133,16.245878660097485,25.518239728056937,300.40777957572436,301.18777232044147,301.91552618495786,302.41023993846443,302.66766661077656,302.66419108906763,297.0390885354793,297.93641917255616,298.69440846305844,299.1151773041757,299.2596969976079,299.31412826550087,0.83666664,0.024721919697279913,0.5299999745854519,34116.03102574889,3506911.5653774138,8970.474100202524,390.93937803111646,4,PUERTO RICO,PUERTO RICO,92,Admin0
4,2015-05,PRI,-2.092143045377616,-1.7685203428288676,-1.4619367440218094,-1.383659433742146,-1.0648726750441013,-1.0421777955050424,-1.0409264542852283,-1.0088474225730366,299.327867078198,0.7657308786025319,0.7398819921232682,4,299.5985674964568,300.3098912093505,300.68796246873075,300.90506400411675,300.91085631180863,300.61904051181426,0.7547974292814469,0.7622752328973076,0.7636732768610652,0.7732079901339967,0.7891459988163965,0.801361979999723,10.422789547461374,12.173875173443173,12.704258592682525,16.632432137246827,25.58678640933037,29.253071174221038,301.49111728609466,302.15762723868875,302.5555912573044,302.8270532870864,302.8189054685974,302.42576148828766,298.1472243555031,298.86731542949235,299.241728137953,299.4086466558332,299.41562097156117,299.22424081843366,0.84193546,0.024721919697279913,0.5299999745854519,34116.03102574889,3506911.5653774138,8970.474100202524,390.93937803111646,5,PUERTO RICO,PUERTO RICO,124,Admin0
5,2015-06,PRI,-0.345611746407471,-0.28866181822983283,-1.3506715053606997,-1.3298456934808374,-1.1051569876600686,-1.077277468200965,-0.9555397808049189,-0.9320009592100728,300.01339848693135,0.7918371683659864,0.6406619692668076,5,300.2105568199461,300.4460490949146,300.6961839310657,300.6803384490481,300.3617309679754,299.6896170185136,0.7723007727059961,0.7641265055122725,0.7711361511906315,0.7875854322300488,0.8031117227778486,0.7973256790181722,15.522610377967215,14.672092707414018,15.803483478271497,24.842666361026243,31.037188801483932,24.73830902201685,302.0042507925813,302.2959772217719,302.60621464596096,302.5677211541717,302.1785466800029,301.36699798863276,298.75027300002586,298.986848852328,299.2073414725606,299.2056691619436,298.9424965818088,298.3974355911342,1.07,0.024721919697279913,0.5299999745854519,34116.03102574889,3506911.5653774138,8970.474100202524,390.93937803111646,6,PUERTO RICO,PUERTO RICO,137,Admin0
6,2015-07,PRI,-1.1228104243279171,-1.1648813200975299,-1.3650617331205777,-1.4510700103253233,-1.4201559791886786,-1.345006400204481,-1.0175286324311823,-0.9713690770906955,300.1743514618298,0.7727186566078302,0.4732228350357292,6,300.3833064706181,300.73827297145334,300.9031680304575,300.64449738205695,299.940287574684,299.1760772559518,0.7632718225642091,0.7789676151446835,0.7878166875941954,0.8017085896354926,0.7972905532434417,0.7869076176211557,11.633800007126075,18.44318242999094,21.775006247116153,28.81544068531562,22.64894171012161,17.21455679517542,302.2353914877913,302.64872694876595,302.8249976799128,302.46879836693404,301.6246149080034,300.8897827749747,298.94902680989253,299.2323095897388,299.4017403169417,299.22303822094585,298.6347659992287,297.9306980065173,1.2774193,0.024721919697279913,0.5299999745854519,34116.03102574889,3506911.5653774138,8970.474100202524,390.93937803111646,7,PUERTO RICO,PUERTO RICO,116,Admin0
7,2015-08,PRI,-1.458957210259977,-1.3454498526912435,-0.9931137976570942,-1.0874471370962224,-1.5506876464317891,-1.4442019048922685,-1.4345797480546334,-1.338708409361339,300.21528861091275,0.7940433370951882,0.9007493849131554,7,300.6580127402311,300.86929953990733,300.6369258689414,299.96760860555753,299.11525947788846,298.4242819904554,0.7791284269395851,0.7947154468792967,0.8070270641404405,0.8073760677497493,0.7884832751241,0.7753555284714293,17.45069718157954,25.99401024728845,32.189824686813154,30.59035745597261,18.731543235059707,16.996098511191217,302.5522248519999,302.7617697781094,302.452932403229,301.62542766004043,300.76165303877536,300.1556434413289,299.1659439920827,299.3802152978657,299.20386356946847,298.6759661264582,297.90598537775304,297.20579188765083,1.6645161,0.024721919697279913,0.5299999745854519,34116.03102574889,3506911.5653774138,8970.474100202524,390.93937803111646,8,PUERTO RICO,PUERTO RICO,162,Admin0
8,2015-09,PRI,-0.8237146727193662,-0.8291573405493285,-1.4377743956505673,-1.3742537316266987,-1.5599255944243877,-1.4738807677065704,-1.4603446446068151,-1.3728043742156009,300.2985769625446,0.8163986190959578,1.1014869874400235,8,300.8044205026187,300.67842400979123,299.89460485040047,299.08444495796437,298.47116038970677,298.2817434089349,0.800315309434164,0.8090143425856171,0.8052574148243314,0.7863698705989582,0.7789241015217323,0.7618754044890955,22.75300814807204,33.066709462393824,34.87665465865801,18.37211001160042,15.602099279529192,14.995612316394212,302.6405904326327,302.47667522354453,301.5365799331435,300.71876980641355,300.18428152534204,300.1138377761858,299.33618536053626,299.25144893648036,298.60947686982786,297.8880946972992,297.2634188473713,296.98250886853367,1.8566667,0.024721919697279913,0.5299999745854519,34116.03102574889,3506911.5653774138,8970.474100202524,390.93937803111646,9,PUERTO RICO,PUERTO RICO,210,Admin0
9,2015-10,PRI,-0.7491682228782994,-0.8300747084894347,-1.2633396872841374,-1.303388036229002,-1.4236464820145223,-1.4688733418251811,-1.1713372279875913,-1.156139955053462,300.1450824231224,0.8226853294094589,1.2305942517782167,9,300.67755566675027,299.970721976385,299.1769010047666,298.5924907207005,298.2892008400739,298.47064575597165,0.8154893849021251,0.8136511863935806,0.7932770976762695,0.7750961996250878,0.76608139605302,0.7584539496519241,38.47990788051957,35.263260927683376,22.67883837314784,13.96220909420902,16.527747847407046,15.758720921193682,302.4743492078437,301.6138341674547,300.8124970640646,300.3329904398111,300.1133716812382,300.32901846757125,299.2380932093248,298.67182518193624,297.9634652084013,297.3651863617648,297.0066189486926,297.12005920941823,2.2,0.024281384757234972,0.5299999745854519,34116.03102574889,3506911.5653774138,8970.474100202524,390.93937803111646,10,PUERTO RICO,PUERTO RICO,200,Admin0
