,time,region,spa01,spe01,spa03,spe03,spa06,spe06,spa12,spe12,t2m,rh,tp,index_x,t2m_L1.0,t2m_L2.0,t2m_L3.0,t2m_L4.0,t2m_L5.0,t2m_L6.0,rh_L1.0,rh_L2.0,rh_L3.0,rh_L4.0,rh_L5.0,rh_L6.0,tp_L1.0,tp_L2.0,tp_L3.0,tp_L4.0,tp_L5.0,tp_L6.0,mx2t24_L1.0,mx2t24_L2.0,mx2t24_L3.0,mx2t24_L4.0,mx2t24_L5.0,mx2t24_L6.0,mn2t24_L1.0,mn2t24_L2.0,mn2t24_L3.0,mn2t24_L4.0,mn2t24_L5.0,mn2t24_L6.0,ssta,gdp_pc,pop_count,area,pop_density,index_y,Country,Region,Cases,Spatial_Resolution
0,2015-01,MAF,-0.47803219968413985,-0.4952039540728919,0.6858206571495031,0.8845004478947419,0.5604487192086948,0.6551118700494624,0.205575509935578,0.3010733835659573,298.4220954509898,0.7992216931737639,0.4790926889153837,0,298.2621564556713,297.8480169935103,297.90643519578884,298.3593578673129,299.10893334790455,299.9201814497051,0.777671232655124,0.7653379940104086,0.7600530916087607,0.7759312789438156,0.7892562950856257,0.7882070396767072,21.570281214234388,17.532962315569836,16.951893984667176,16.303602956224726,18.351623679489993,15.821039817701134,298.7899244115972,298.4247118820912,298.51854895711534,298.95653248120385,299.6831199807973,300.46940342552125,297.6641587825542,297.2165185905316,297.26140311080917,297.7226822563139,298.47006370158306,299.3078408768083,0.47741935,39979.590460073276,34361.8195129433,68.281633537319,503.236635282942,1,SAINT MARTIN,SAINT MARTIN,106,Admin0
1,2015-02,MAF,-0.43203783818456937,-0.40163934178733923,-0.3832226365054522,-0.28657212085923645,0.2266702943889047,0.32574053808928266,0.16317382481276774,0.2598175317154564,298.3803698526028,0.7902666985373006,0.4922983153935743,1,298.2679722278258,298.1272632596973,298.4787273453256,299.21613374646046,299.9930729682862,300.3447074019496,0.7717017731310557,0.7574745970351024,0.7748284516894444,0.7877850041767767,0.7908480831947587,0.7919428942830568,18.294539574766787,21.036817354197048,21.810315076112563,19.03531421692999,17.291641579429243,20.686801950193146,298.84639726240124,298.7452395253567,299.0951750413419,299.79187093069163,300.55443137486304,300.93565466600774,297.66245755471755,297.4674381049698,297.81961539953613,298.58431637898735,299.3732301094902,299.66477870877486,0.75,39979.590460073276,34361.8195129433,68.281633537319,503.236635282942,2,SAINT MARTIN,SAINT MARTIN,119,Admin0
2,2015-03,MAF,0.16131515660122037,0.48475264235085314,-0.5489788494289126,-0.4715714805579091,0.28370203064996785,0.4294718024460365,0.1637553163741658,0.28295632144045435,298.1174858587642,0.7417200662840857,0.3307240010371085,2,298.179529940626,298.56551451920905,299.201524549986,299.98348984919073,300.33830440029476,300.5698434583125,0.7521644362176472,0.769019601404912,0.7873343735719308,0.7919832535873164,0.7917882690400908,0.7982985659085642,14.978414266224668,23.33263868486855,17.1301742321761,15.41604705506853,19.430431050795733,23.6203838897904,298.81026427037943,299.1705861100793,299.7659377205667,300.5266566809446,300.91124813644024,301.16339879826603,297.53732372752256,297.9432920524805,298.5721490901876,299.3847408894177,299.69859825412493,299.87593516673496,0.43870968,39979.590460073276,34361.8195129433,68.281633537319,503.236635282942,3,SAINT MARTIN,SAINT MARTIN,62,Admin0
3,2015-04,MAF,-0.44638770645637627,-0.3587045634035118,-0.6077848454913092,-0.5023831766389549,0.07069843553681575,0.28803270366066686,0.09993754127075227,0.24052674023578544,298.43132749698134,0.7862687559541813,0.39939837976418185,3,298.4027238543946,299.21182127818173,299.94413330647495,300.31253813753176,300.5878672487929,300.75295651890525,0.7757630005526276,0.7892454129984793,0.7864063779049246,0.7894634561079928,0.7965902378815205,0.8084493531578347,17.639949306447924,18.6352632866204,14.70980613976047,16.104837440122168,20.382550815614945,36.71393817295909,298.9968974241274,299.78663369103236,300.49659444521166,300.8738781356922,301.17856131585444,301.38651760217846,297.7667608370054,298.5773315414786,299.343367551407,299.69969431225616,299.9026422825969,299.98031913227584,0.83666664,39979.590460073276,34361.8195129433,68.281633537319,503.236635282942,4,SAINT MARTIN,SAINT MARTIN,0,Admin0
4,2015-05,MAF,-1.4028952460295518,-1.5108569340680502,-1.1936300189624325,-1.3011455911388523,-1.2220658287646506,-1.2380976730581972,-0.19362825302762915,-0.1648897491276271,299.337862817472,0.7845023926826953,0.44929024919816407,4,299.372437123534,300.0657390659264,300.4485531625608,300.755132106346,300.90836841828326,300.813457626108,0.7781228606751328,0.7896065598332541,0.7956632998449703,0.801928445861026,0.8087861810546128,0.8081006007371613,11.831187193386748,14.519747173964253,16.6481494182163,21.933306531815006,34.151271870850834,34.498089249609635,299.91540202269744,300.5954068807222,301.0120021857928,301.35650110797195,301.5579000020281,301.4219627454039,298.79663070086707,299.481976567306,299.8175794576704,300.06146891717975,300.0902394134942,300.05791163753804,0.84193546,39979.590460073276,34361.8195129433,68.281633537319,503.236635282942,5,SAINT MARTIN,SAINT MARTIN,0,Admin0
5,2015-06,MAF,-0.7645521262351879,-0.8432110331569929,-1.312157833417813,-1.3545685021279164,-1.5186391061326545,-1.452228796863705,-0.25934311751322797,-0.2648557625527564,299.9361084192173,0.7983645505186368,0.38002242554567833,5,300.1049247556857,300.28759597475266,300.55426862141553,300.70702546405386,300.55081097733586,300.0101691780767,0.7865692362499322,0.7896754899335084,0.7990115456726744,0.8062937570441372,0.8095995462690004,0.798240517939566,16.512099174656075,16.922407417521374,19.825367752862764,33.47230714979505,37.631297189235084,29.14574399898145,300.685190056533,300.8751797756881,301.1515665930197,301.34265804313395,301.17719789010306,300.587556985982,299.45395154419043,299.6245482147645,299.86453712911157,299.91857032696134,299.772424801666,299.30212437707934,1.07,39979.590460073276,34361.8195129433,68.281633537319,503.236635282942,6,SAINT MARTIN,SAINT MARTIN,0,Admin0
6,2015-07,MAF,-1.4744263500560648,-1.5241754621569563,-1.6714311051840858,-1.5522354300107863,-1.7629323351978259,-1.675531154930757,-0.32618804468292695,-0.2770700448833897,300.1282224236083,0.7986461827533686,0.4009227054058633,6,300.19849231080866,300.64917614915464,300.92765823707276,300.83055468116754,300.25675649972345,299.48746646105053,0.7914985446329948,0.8059551420487959,0.8077644749630364,0.810805318203433,0.7994060352866486,0.7871670237341907,14.227399557337886,23.022319774019067,27.74170038472213,35.25369603997331,31.208766959277938,23.590454611785173,300.74291567073016,301.24825387594655,301.55926009744223,301.46203631963175,300.8482769421292,300.05852810493485,299.60348582905414,299.94557469659725,300.1430068022081,300.0377125525282,299.522435486676,298.82336187665106,1.2774193,39979.590460073276,34361.8195129433,68.281633537319,503.236635282942,7,SAINT MARTIN,SAINT MARTIN,6,Admin0
7,2015-08,MAF,-1.5562648183238614,-1.4103509373029306,-1.598348386862505,-1.7131291748385233,-1.6165100545902047,-1.5957020545126632,-0.7644416768553061,-0.7162476734814299,300.5448372920685,0.8054580987889053,1.0863852666930929,7,300.580322388104,300.93157117004654,300.90127872630404,300.3916163276109,299.51522238799834,298.8350839379202,0.8050891128681136,0.811543514816185,0.8114708934725862,0.8042345703168647,0.7836837471405268,0.7727564412761564,20.897804748797896,33.803616198103235,39.04776741440489,38.517816573005945,25.3372067094437,21.482141590687068,301.18350782025493,301.56991382756934,301.55393812694257,301.002505472387,300.105550947136,299.41059478179034,299.8800018015651,300.1364159264105,300.05742930032454,299.6235683291937,298.8323002604234,298.21877231284475,1.6645161,39979.590460073276,34361.8195129433,68.281633537319,503.236635282942,8,SAINT MARTIN,SAINT MARTIN,11,Admin0
8,2015-09,MAF,-0.4818551403910304,-0.41817771025195305,-1.3605129105134133,-1.316263079395612,-1.761990492998857,-1.737887163322293,-0.9666702597473307,-0.9180023545230771,300.8445326883132,0.802539698001828,0.9985929896600221,8,300.97656793515284,300.9345394314832,300.31963413506793,299.50875591594263,298.87091433075966,298.56653818014865,0.807326353773846,0.8125454530475285,0.8019159702110702,0.7819372595331177,0.7740540026582449,0.7616791529090206,27.60725726532153,43.25448100697447,45.72009469866661,28.293347258782063,20.93124136832771,20.22870092988343,301.6300308979401,301.6105648656057,300.9589839027947,300.0949181159614,299.4465401291307,299.1951437557798,300.1827253519909,300.0695471702757,299.52553584306594,298.84248170175636,298.25171255893144,297.95701511261717,1.8566667,39979.590460073276,34361.8195129433,68.281633537319,503.236635282942,9,SAINT MARTIN,SAINT MARTIN,5,Admin0
9,2015-10,MAF,-0.9395050105766067,-1.0551243179321197,-1.096801973676129,-1.1735432941251789,-1.4907077322231324,-1.4541961401092371,-1.172213468026875,-1.1848769500132932,300.7340202443132,0.818418182317904,1.4366103852725687,9,301.04655747765776,300.44413185248976,299.6203435164448,298.9539351119486,298.5883516828374,298.57962512098516,0.8153708313529519,0.8073599820771081,0.7871908580328778,0.769722193007813,0.7656310239378864,0.7666109057075888,47.76413404972371,49.26246459002632,32.65576386058316,17.872152348958338,19.4622839500722,16.756897296383517,301.753171696234,301.1049176080618,300.2236104895198,299.5423551820888,299.19931376258495,299.19400819529824,300.10106384817476,299.62495465831296,298.92744345096133,298.3217035752945,297.9844883373083,297.970550054972,2.2,39979.590460073276,34361.8195129433,68.281633537319,503.236635282942,10,SAINT MARTIN,SAINT MARTIN,5,Admin0
10,2015-11,MAF,0.008507988073557977,-0.08912466338385695,-0.7051242595984224,-0.7553271086123665,-1.277898244234535,-1.2880825191754588,-1.4970941917424294,-1.4685795563818353,299.9774227178383,0.7963911681749302,1.3815939387186025,10,300.15508971070835,299.3519566616237,298.65933815149157,298.42960762235344,298.38446339908893,298.73056371649665,0.8029516800924468,0.7808428830185657,0.7738305809022977,0.7622919646280322,0.7609313920490337,0.7818032211131297,47.73751308818357,28.685268150926998,22.409708867141713,18.932312212108183,18.730195836779238,21.103595931909428,300.7912014275983,299.92342117194374,299.2381764646349,299.0441405519579,299.0015344334535,299.3141541710562,299.35353439723235,298.69379510522293,298.02671010103853,297.819238878571,297.7635760292838,298.1048145917019,2.79,39979.590460073276,34361.8195129433,68.281633537319,503.236635282942,11,SAINT MARTIN,SAINT MARTIN,0,Admin0
11,2015-12,MAF,-0.37990908329021955,-0.4956673364254608,-0.8189189732050889,-0.9612789507979774,-1.2063225809642533,-1.2281884763351572,-1.5574487084253341,-1.5159102145320742,299.202694546383,0.8017801646320427,0.7047810595045518,11,299.1452594935766,298.5676874373773,298.2087333583424,298.3191440351342,298.7303747995335,299.4282759061462,0.7844469762434103,0.7712494126510264,0.75858736159194,0.7574588059142668,0.7764333138007435,0.7939320330269852,26.950515471515672,20.664804534157785,17.660762921689567,16.109934377705674,15.822125059988936,24.425701827720065,299.7289600832555,299.123795158478,298.8098577400976,298.9402427632763,299.3175076091699,299.9818656127904,298.46883409039094,297.9692939754251,297.59781470364555,297.7084443600475,298.10129907616266,298.82662066619275,2.5,39979.590460073276,34361.8195129433,68.281633537319,503.236635282942,12,SAINT MARTIN,SAINT MARTIN,0,Admin0
12,2016-01,MAF,-0.605512702832095,-0.6064378068625615,-0.4875865589113541,-0.5699405192985166,-1.0369661897039195,-1.1300925283818992,-1.5665911583313994,-1.5383492718320761,298.41741499721206,0.7741146779590751,0.3973195479529193,12,298.49470844743735,298.260733713889,298.34434345670405,298.75137028818204,299.46087675079775,300.21622930233684,0.7703986969274631,0.767091522400057,0.7659150286622507,0.7777220531900852,0.7944751304666567,0.798015174735893,16.842712521619717,17.274538077094103,17.75535439829063,20.333849118231726,22.62973498864885,22.449974947419555,299.0394023801027,298.84975582006757,298.9491177282836,299.3478046649041,300.0275539873537,300.7745052015446,297.9053177179929,297.65203802828415,297.73524368311195,298.11268392443617,298.8352181249789,299.5973926253319,2.5451612,39702.51768338936,34234.145558732715,68.281633537319,501.3668212847047,13,SAINT MARTIN,SAINT MARTIN,0,Admin0
