,model,time,horizon,quantile,Cases
84,N-HiTS,2017-11-01,1,Cases_q0.650,3.8870648980140685
85,N-HiTS,2017-12-01,2,Cases_q0.650,3.9605302214622498
86,N-HiTS,2018-01-01,3,Cases_q0.650,4.032679486274719
87,N-HiTS,2018-02-01,4,Cases_q0.650,4.087832617759704
88,N-HiTS,2018-03-01,5,Cases_q0.650,4.4095556259155275
89,N-HiTS,2018-04-01,6,Cases_q0.650,4.091072940826416
90,N-HiTS,2017-11-01,1,Cases_q0.700,4.086944818496704
91,N-HiTS,2017-12-01,2,Cases_q0.700,3.981671667098999
92,N-HiTS,2018-01-01,3,Cases_q0.700,4.057598733901978
93,N-HiTS,2018-02-01,4,Cases_q0.700,4.1394905090332035
94,N-HiTS,2018-03-01,5,Cases_q0.700,4.534450387954712
95,N-HiTS,2018-04-01,6,Cases_q0.700,4.15839638710022
96,N-HiTS,2017-11-01,1,Cases_q0.750,4.344208717346191
97,N-HiTS,2017-12-01,2,Cases_q0.750,4.157121419906616
98,N-HiTS,2018-01-01,3,Cases_q0.750,4.090236067771912
99,N-HiTS,2018-02-01,4,Cases_q0.750,4.286045074462891
100,N-HiTS,2018-03-01,5,Cases_q0.750,4.564994931221008
101,N-HiTS,2018-04-01,6,Cases_q0.750,4.191073298454285
102,N-HiTS,2017-11-01,1,Cases_q0.800,4.407835674285889
103,N-HiTS,2017-12-01,2,Cases_q0.800,4.191954326629639
104,N-HiTS,2018-01-01,3,Cases_q0.800,4.114729118347168
105,N-HiTS,2018-02-01,4,Cases_q0.800,4.359493732452393
106,N-HiTS,2018-03-01,5,Cases_q0.800,4.599574089050293
107,N-HiTS,2018-04-01,6,Cases_q0.800,4.245642948150635
108,N-HiTS,2017-11-01,1,Cases_q0.850,4.461424350738525
109,N-HiTS,2017-12-01,2,Cases_q0.850,4.263640737533569
110,N-HiTS,2018-01-01,3,Cases_q0.850,4.1411881923675535
111,N-HiTS,2018-02-01,4,Cases_q0.850,4.42263810634613
112,N-HiTS,2018-03-01,5,Cases_q0.850,4.698329496383667
113,N-HiTS,2018-04-01,6,Cases_q0.850,4.298541331291199
114,N-HiTS,2017-11-01,1,Cases_q0.900,4.5801169872283936
115,N-HiTS,2017-12-01,2,Cases_q0.900,4.341644763946533
116,N-HiTS,2018-01-01,3,Cases_q0.900,4.1880378246307375
117,N-HiTS,2018-02-01,4,Cases_q0.900,4.50487790107727
118,N-HiTS,2018-03-01,5,Cases_q0.900,4.724578905105591
119,N-HiTS,2018-04-01,6,Cases_q0.900,4.531132745742798
120,N-HiTS,2017-11-01,1,Cases_q0.950,4.630267667770386
121,N-HiTS,2017-12-01,2,Cases_q0.950,4.375612950325012
122,N-HiTS,2018-01-01,3,Cases_q0.950,4.254050326347351
123,N-HiTS,2018-02-01,4,Cases_q0.950,4.53080952167511
124,N-HiTS,2018-03-01,5,Cases_q0.950,5.093632292747498
125,N-HiTS,2018-04-01,6,Cases_q0.950,4.797294926643372
126,N-HiTS,2017-11-01,1,Cases_q0.975,4.635038876533509
127,N-HiTS,2017-12-01,2,Cases_q0.975,4.388449585437774
128,N-HiTS,2018-01-01,3,Cases_q0.975,4.304896485805512
129,N-HiTS,2018-02-01,4,Cases_q0.975,4.7599566102027895
130,N-HiTS,2018-03-01,5,Cases_q0.975,5.142594420909882
131,N-HiTS,2018-04-01,6,Cases_q0.975,4.964491832256317
132,N-HiTS,2017-11-01,1,Cases_q0.990,4.864687619209289
133,N-HiTS,2017-12-01,2,Cases_q0.990,4.6297748136520385
134,N-HiTS,2018-01-01,3,Cases_q0.990,4.350210952758789
135,N-HiTS,2018-02-01,4,Cases_q0.990,4.843558297157288
136,N-HiTS,2018-03-01,5,Cases_q0.990,5.249494552612305
137,N-HiTS,2018-04-01,6,Cases_q0.990,5.0797522830963135
0,N-HiTS,2017-12-01,1,Cases_q0.010,2.288671772480011
1,N-HiTS,2018-01-01,2,Cases_q0.010,2.415919189453125
2,N-HiTS,2018-02-01,3,Cases_q0.010,2.697329704761505
3,N-HiTS,2018-03-01,4,Cases_q0.010,3.179342017173767
4,N-HiTS,2018-04-01,5,Cases_q0.010,2.4353044033050537
5,N-HiTS,2018-05-01,6,Cases_q0.010,3.090235686302185
6,N-HiTS,2017-12-01,1,Cases_q0.025,2.3474617898464203
7,N-HiTS,2018-01-01,2,Cases_q0.025,2.571441173553467
8,N-HiTS,2018-02-01,3,Cases_q0.025,2.783001482486725
9,N-HiTS,2018-03-01,4,Cases_q0.025,3.4326934814453125
10,N-HiTS,2018-04-01,5,Cases_q0.025,3.347006070613861
11,N-HiTS,2018-05-01,6,Cases_q0.025,3.2924604654312133
12,N-HiTS,2017-12-01,1,Cases_q0.050,3.58322331905365
13,N-HiTS,2018-01-01,2,Cases_q0.050,3.196562135219574
14,N-HiTS,2018-02-01,3,Cases_q0.050,3.69388906955719
15,N-HiTS,2018-03-01,4,Cases_q0.050,3.6975685119628907
16,N-HiTS,2018-04-01,5,Cases_q0.050,3.411697840690613
17,N-HiTS,2018-05-01,6,Cases_q0.050,3.3602190256118774
18,N-HiTS,2017-12-01,1,Cases_q0.100,3.754814958572388
19,N-HiTS,2018-01-01,2,Cases_q0.100,3.249155569076538
20,N-HiTS,2018-02-01,3,Cases_q0.100,3.822476100921631
21,N-HiTS,2018-03-01,4,Cases_q0.100,3.828512668609619
22,N-HiTS,2018-04-01,5,Cases_q0.100,3.671608138084412
23,N-HiTS,2018-05-01,6,Cases_q0.100,3.438958477973938
24,N-HiTS,2017-12-01,1,Cases_q0.150,3.8083317995071413
25,N-HiTS,2018-01-01,2,Cases_q0.150,3.5401307940483093
26,N-HiTS,2018-02-01,3,Cases_q0.150,3.8702523589134215
27,N-HiTS,2018-03-01,4,Cases_q0.150,4.049431371688843
28,N-HiTS,2018-04-01,5,Cases_q0.150,3.8971030473709107
29,N-HiTS,2018-05-01,6,Cases_q0.150,3.6065878748893736
30,N-HiTS,2017-12-01,1,Cases_q0.200,3.8499584197998047
31,N-HiTS,2018-01-01,2,Cases_q0.200,3.680915689468384
