,time,region,quantile,horizon,Cases
97,2017-11-01,BLM,0.8,2,1.7046228885650638
98,2017-12-01,BLM,0.8,3,1.904858660697937
99,2018-01-01,BLM,0.8,4,2.1734581470489505
100,2018-02-01,BLM,0.8,5,2.135102939605713
101,2018-03-01,BLM,0.8,6,1.9732573032379153
102,2017-10-01,BLM,0.85,1,1.9883502244949336
103,2017-11-01,BLM,0.85,2,2.182423233985901
104,2017-12-01,BLM,0.85,3,2.3331418871879577
105,2018-01-01,BLM,0.85,4,2.6635139346122743
106,2018-02-01,BLM,0.85,5,2.508907091617584
107,2018-03-01,BLM,0.85,6,2.3751661658287047
108,2017-10-01,BLM,0.9,1,2.6245996952056885
109,2017-11-01,BLM,0.9,2,2.826064944267274
110,2017-12-01,BLM,0.9,3,2.9873578548431414
111,2018-01-01,BLM,0.9,4,3.1390862941741946
112,2018-02-01,BLM,0.9,5,3.0204616546630865
113,2018-03-01,BLM,0.9,6,2.8918932676315308
114,2017-10-01,BLM,0.95,1,3.7442328453063936
115,2017-11-01,BLM,0.95,2,3.865599560737606
116,2017-12-01,BLM,0.95,3,4.574519443511962
117,2018-01-01,BLM,0.95,4,4.097496914863586
118,2018-02-01,BLM,0.95,5,4.275121784210203
119,2018-03-01,BLM,0.95,6,3.964193999767302
120,2017-10-01,BLM,0.99,1,6.675025949478149
121,2017-11-01,BLM,0.99,2,6.744528050422665
122,2017-12-01,BLM,0.99,3,7.127426128387451
123,2018-01-01,BLM,0.99,4,7.388876008987427
124,2018-02-01,BLM,0.99,5,7.104013934135436
125,2018-03-01,BLM,0.99,6,7.461330890655518
0,2017-11-01,BLM,0.01,1,-0.33457641422748563
1,2017-12-01,BLM,0.01,2,-0.33734216809272766
2,2018-01-01,BLM,0.01,3,-0.36819137513637545
3,2018-02-01,BLM,0.01,4,-0.3868491053581238
4,2018-03-01,BLM,0.01,5,-0.3790907311439514
5,2018-04-01,BLM,0.01,6,-0.3602434992790222
6,2017-11-01,BLM,0.05,1,-0.1161423474550247
7,2017-12-01,BLM,0.05,2,-0.12494001165032387
