,time,region,quantile,horizon,Cases
97,2017-04-01,BLM,0.8,2,2.552597379684449
98,2017-05-01,BLM,0.8,3,1.8680170774459848
99,2017-06-01,BLM,0.8,4,1.7296020984649672
100,2017-07-01,BLM,0.8,5,1.1705310344696065
101,2017-08-01,BLM,0.8,6,1.38409960269928
102,2017-03-01,BLM,0.85,1,5.1067250013351435
103,2017-04-01,BLM,0.85,2,3.874655628204345
104,2017-05-01,BLM,0.85,3,3.585425698757171
105,2017-06-01,BLM,0.85,4,3.2431972861289977
106,2017-07-01,BLM,0.85,5,2.6194381833076474
107,2017-08-01,BLM,0.85,6,2.605165886878967
108,2017-03-01,BLM,0.9,1,6.176299428939821
109,2017-04-01,BLM,0.9,2,5.900187206268311
110,2017-05-01,BLM,0.9,3,5.467234706878662
111,2017-06-01,BLM,0.9,4,5.399583625793461
112,2017-07-01,BLM,0.9,5,4.751765394210816
113,2017-08-01,BLM,0.9,6,5.213156366348271
114,2017-03-01,BLM,0.95,1,9.553063249587991
115,2017-04-01,BLM,0.95,2,11.271778440475462
116,2017-05-01,BLM,0.95,3,11.015659475326538
117,2017-06-01,BLM,0.95,4,11.554888343811035
118,2017-07-01,BLM,0.95,5,10.577441501617429
119,2017-08-01,BLM,0.95,6,11.35099625587463
120,2017-03-01,BLM,0.99,1,18.133996963500977
121,2017-04-01,BLM,0.99,2,32.419608917236324
122,2017-05-01,BLM,0.99,3,52.879261550903294
123,2017-06-01,BLM,0.99,4,61.715088768005366
124,2017-07-01,BLM,0.99,5,57.234255371093724
125,2017-08-01,BLM,0.99,6,121.16518714904781
0,2017-04-01,BLM,0.01,1,-0.09258925914764404
1,2017-05-01,BLM,0.01,2,-0.10155833803117276
2,2017-06-01,BLM,0.01,3,-0.09045136392116547
3,2017-07-01,BLM,0.01,4,-0.10941761903464794
4,2017-08-01,BLM,0.01,5,-0.10483193635940552
5,2017-09-01,BLM,0.01,6,-0.10620827332139016
6,2017-04-01,BLM,0.05,1,-0.047649430111050606
7,2017-05-01,BLM,0.05,2,-0.06095495503395796
8,2017-06-01,BLM,0.05,3,-0.04047736935317516
9,2017-07-01,BLM,0.05,4,-0.0566614655777812
10,2017-08-01,BLM,0.05,5,-0.05235236790031195
11,2017-09-01,BLM,0.05,6,-0.05268195569515228
12,2017-04-01,BLM,0.1,1,-0.02962102089077234
13,2017-05-01,BLM,0.1,2,-0.02882672995328903
14,2017-06-01,BLM,0.1,3,-0.02898375578224659
15,2017-07-01,BLM,0.1,4,-0.029749567061662673
