,time,region,quantile,horizon,Cases
99,2017-11-01,BLM,0.8,4,2.709409236907959
100,2017-12-01,BLM,0.8,5,2.7022429943084716
101,2018-01-01,BLM,0.8,6,2.7526869773864746
102,2017-08-01,BLM,0.85,1,2.769208431243896
103,2017-09-01,BLM,0.85,2,2.990451693534851
104,2017-10-01,BLM,0.85,3,3.037605273723602
105,2017-11-01,BLM,0.85,4,3.1634321451187133
106,2017-12-01,BLM,0.85,5,3.055580425262451
107,2018-01-01,BLM,0.85,6,3.0960469484329223
108,2017-08-01,BLM,0.9,1,3.079057478904724
109,2017-09-01,BLM,0.9,2,3.389915871620179
110,2017-10-01,BLM,0.9,3,3.5012768745422376
111,2017-11-01,BLM,0.9,4,3.575368356704712
112,2017-12-01,BLM,0.9,5,3.534794998168946
113,2018-01-01,BLM,0.9,6,3.5435132503509523
114,2017-08-01,BLM,0.95,1,3.7691386342048623
115,2017-09-01,BLM,0.95,2,4.118246078491208
116,2017-10-01,BLM,0.95,3,4.8667269229888905
117,2017-11-01,BLM,0.95,4,4.468408060073852
118,2017-12-01,BLM,0.95,5,4.7401541471481305
119,2018-01-01,BLM,0.95,6,4.5460719585418685
120,2017-08-01,BLM,0.99,1,6.048773288726807
121,2017-09-01,BLM,0.99,2,6.717055578231808
122,2017-10-01,BLM,0.99,3,7.344301590919494
123,2017-11-01,BLM,0.99,4,7.938161373138428
124,2017-12-01,BLM,0.99,5,7.73836248397827
125,2018-01-01,BLM,0.99,6,8.176233291625977
0,2017-09-01,BLM,0.01,1,-0.3282926917076111
1,2017-10-01,BLM,0.01,2,-0.4819196796417236
2,2017-11-01,BLM,0.01,3,-0.6158534055948257
3,2017-12-01,BLM,0.01,4,-0.4831506609916687
4,2018-01-01,BLM,0.01,5,-0.39647823572158813
5,2018-02-01,BLM,0.01,6,-0.28539401292800903
6,2017-09-01,BLM,0.05,1,0.22584049105644227
7,2017-10-01,BLM,0.05,2,-0.010480648279190052
8,2017-11-01,BLM,0.05,3,-0.189812171459198
9,2017-12-01,BLM,0.05,4,-0.27232188582420347
10,2018-01-01,BLM,0.05,5,-0.213271526992321
11,2018-02-01,BLM,0.05,6,-0.15360907390713688
12,2017-09-01,BLM,0.1,1,0.724556314945221
13,2017-10-01,BLM,0.1,2,0.4705326765775681
14,2017-11-01,BLM,0.1,3,0.15879695415496828
15,2017-12-01,BLM,0.1,4,-0.006878598034381841
16,2018-01-01,BLM,0.1,5,-0.013793251290917389
17,2018-02-01,BLM,0.1,6,-0.09589175283908843
18,2017-09-01,BLM,0.15,1,1.07789426445961
19,2017-10-01,BLM,0.15,2,0.8053641200065613
20,2017-11-01,BLM,0.15,3,0.5264581680297852
21,2017-12-01,BLM,0.15,4,0.21648002564907065
22,2018-01-01,BLM,0.15,5,0.20261395126581191
23,2018-02-01,BLM,0.15,6,0.007048116624355301
24,2017-09-01,BLM,0.2,1,1.349307656288147
25,2017-10-01,BLM,0.2,2,1.0305677652359009
26,2017-11-01,BLM,0.2,3,0.7504761695861817
27,2017-12-01,BLM,0.2,4,0.4677609145641327
28,2018-01-01,BLM,0.2,5,0.4302326500415803
29,2018-02-01,BLM,0.2,6,0.20915306210517887
30,2017-09-01,BLM,0.25,1,1.4852153360843658
31,2017-10-01,BLM,0.25,2,1.2531282901763916
32,2017-11-01,BLM,0.25,3,0.9996234178543091
33,2017-12-01,BLM,0.25,4,0.6631786674261093
34,2018-01-01,BLM,0.25,5,0.660925418138504
35,2018-02-01,BLM,0.25,6,0.37353548407554626
